pay_first,pay_extra,avg_total_requests,avg_total_accepted,avg_total_profit,std_total_requests,std_total_accepted,std_total_profit
25.0,5.0,16521.6,6576.4,33324.0,151.31569647594395,79.84635245269504,359.24086627219907
25.0,7.5,16582.5,6636.5,34005.0,128.12981698262118,77.36051964665181,424.5070670789828
25.0,10.0,16449.6,6604.6,34208.0,284.7866569908078,129.29671302859944,638.7339039067834
25.0,12.5,16656.7,6778.4,35774.5,182.62313654080089,92.03173365747274,568.894542072606
25.0,15.0,16877.4,6949.2,37619.0,238.26632158154456,100.4577523140947,528.1183579463982
25.0,17.5,17207.9,7269.8,40269.25,219.71911614604682,104.86353036208536,693.9020554083984
30.0,5.0,21235.7,11576.0,1047.5,145.44418173306212,114.42726947716615,147.6693942562236
30.0,7.5,21326.4,11673.0,1815.75,288.56548650176444,127.68711759609894,230.34769914197102
30.0,10.0,21350.6,11714.1,3050.0,238.23484212012315,133.7590744585204,223.11432047271194
30.0,12.5,21530.6,11912.3,4977.0,268.5640333328348,140.95038134038518,290.0146548021324
30.0,15.0,21905.4,12322.8,7891.5,285.6004901956577,143.57423167128565,185.47304386352212
30.0,17.5,22456.0,12927.1,11946.25,261.7181690292059,156.22448591690102,293.5265107277365
35.0,5.0,23954.7,14487.1,-70791.5,267.0779099813386,192.90539131916455,958.0137003195726
35.0,7.5,23982.7,14570.4,-70201.0,277.36800464365024,182.2927316159369,839.4136346283636
35.0,10.0,24065.4,14685.6,-68720.5,351.21679914263785,215.20604080740856,1140.9501522853661
35.0,12.5,24369.2,14954.5,-66924.5,323.0463743799023,176.0694465260796,500.53821032964106
35.0,15.0,24651.9,15322.0,-63294.0,237.48408367720143,183.90976048051394,805.1298031994593
35.0,17.5,25566.7,16260.0,-59412.75,288.1555309203695,203.22106190058156,798.2265107724749
40.0,5.0,24897.3,15581.1,-153774.0,279.04625064673417,166.0454455864418,1534.8498297879178
40.0,7.5,24999.2,15677.3,-153477.5,221.60676884969016,139.20779432201346,1228.9034746472157
40.0,10.0,25237.8,15856.3,-152365.0,395.56713715878874,229.2099692421776,2185.096107726157
40.0,12.5,25489.8,16143.8,-150438.0,222.79488324465623,129.6617137014624,1030.2662277295126
40.0,15.0,26170.5,16788.9,-149444.0,313.4109921492863,170.5915883037613,1531.701341645949
40.0,17.5,26705.5,17497.9,-144601.75,229.25455284464908,159.3960162613859,1185.5099377483093
45.0,5.0,25335.0,15991.1,-237422.5,254.1098187792042,154.7504119542174,2306.7436463551817
45.0,7.5,25218.1,15909.2,-234438.0,261.52416714330633,154.44468265369318,2178.548484656699
45.0,10.0,25602.3,16254.4,-236599.0,271.4748791324899,144.67287237073853,2086.1085781905026
45.0,12.5,25710.8,16452.7,-233761.25,320.01087481521625,174.63278615426142,2026.3807792465857
45.0,15.0,26421.1,17067.6,-233403.0,359.47974908191975,226.552069070225,2999.818494509293
45.0,17.5,27298.6,18029.7,-231607.25,340.3572241043225,208.02694537006496,2633.7998808755383
50.0,5.0,25282.0,15992.9,-317126.5,267.66546284494757,160.13897089715545,3224.823289732323
50.0,7.5,25579.1,16210.6,-319724.0,318.0095753275363,172.08672232336812,3280.351581766808
50.0,10.0,25724.9,16372.2,-318596.0,359.4992211396292,207.80510099610166,3900.2646064081346
50.0,12.5,25835.3,16552.8,-316723.5,216.3562109115428,97.99163229582412,1654.964954311722
50.0,15.0,26403.0,17146.1,-316297.5,313.8531503745024,220.84449279979793,4060.7962581247534
50.0,17.5,27113.7,17977.2,-314580.25,192.8341515396067,139.2456821592684,2859.6471482509864
