pay,avg_total_requests,avg_total_accepted,avg_total_profit,std_total_requests,std_total_accepted,std_total_profit
5.0,10048.5,63.4,1585.0,115.69723419338943,5.9531504264548865,148.82876066137217
7.5,10108.2,121.7,2738.25,95.44401500356112,13.594484175576504,305.8758939504714
10.0,10263.7,228.1,4562.0,108.92387249818104,10.435037134576953,208.70074269153906
12.5,10429.4,425.6,7448.0,82.2778220421518,24.81209382539088,434.21164194434033
15.0,10789.7,817.8,12267.0,103.56258977063098,27.117522010685267,406.762830160279
17.5,11502.1,1555.4,19442.5,129.72081560027289,49.99839997439918,624.9799996799898
20.0,12890.9,2885.9,28859.0,127.33691530738444,71.73207093065136,717.3207093065138
22.5,15386.3,5460.8,40956.0,196.79331797599227,85.24763926350101,639.3572944762576
25.0,19803.5,10056.4,50282.0,340.7028764187353,202.3211308786109,1011.6056543930545
27.5,27055.7,17888.6,44721.5,417.64100612846914,308.1133557637513,770.2833894093784
30.0,36831.3,28956.0,0.0,559.2101662166024,446.1959210929656,0.0
